Ano;Mês;Clientela;Qte Benefícios Concedidos;Evolução Mensal (AnoMes);Vlr Benefícios Concedidos (R$);Grupo/Principais Espécies;Vlr Benef Concedidos (Mil R$)
1992;Janeiro  ;Urbana;5508;199201;529,1;42-Ap Tempo Contrib LOPS                  ;0,5
1992;Janeiro  ;Urbana;2503;199201;280,1;46-Ap Tempo Contrib Especial              ;0,3
1992;Janeiro  ;Urbana;104;199201;8,5;Outras Ap Tempo Contrib                   ;0
1992;Janeiro  ;Urbana;6201;199201;278,6;Ap Idade                                  ;0,3
1992;Janeiro  ;Urbana;0;199201;0;Ap Idade                                  ;0
1992;Janeiro  ;Urbana;4332;199201;167,4;Ap Invalidez                              ;0,2
1992;Janeiro  ;Urbana;0;199201;0;Ap Invalidez                              ;0
1992;Janeiro  ;Urbana;11806;199201;459,6;Pensões por Morte                         ;0,5
1992;Janeiro  ;Urbana;138;199201;4,8;EPU - Pensão por Morte                    ;0
1992;Janeiro  ;Urbana;56;199201;10;Pensões por Morte                         ;0
1992;Janeiro  ;Urbana;1;199201;0;EPU - Pensões Mensais Vitalícias          ;0
1992;Janeiro  ;Urbana;0;199201;0;Pensões Mensais Vitalícias                ;0
1992;Janeiro  ;Urbana;0;199201;0;Pensões Mensais Vitalícias                ;0
1992;Janeiro  ;Urbana;1905;199201;66,5;Rmv Invalidez                             ;0,1
1992;Janeiro  ;Urbana;920;199201;32,1;Rmv Idade                                 ;0
1992;Janeiro  ;Urbana;33920;199201;1129,8;Auxílio Doença                            ;1,1
1992;Janeiro  ;Urbana;85;199201;3;Auxílio Reclusão                          ;0
1992;Janeiro  ;Urbana;0;199201;0;80-Salário-Maternidade                    ;0
1992;Janeiro  ;Urbana;0;199201;0;Auxílio Doença Acidentário                ;0
1992;Janeiro  ;Urbana;665;199201;17,2;Auxílio Acidente e Suplementar Acidentário;0
1992;Janeiro  ;Urbana;261;199201;3,8;Auxílio Acidente e Suplementar Acidentário;0
1992;Janeiro  ;Urbana;227;199201;11,1;Aposentadorias Acidentárias               ;0
1992;Janeiro  ;Urbana;295;199201;20,7;Pensões Acidentárias                      ;0
1992;Janeiro  ;Urbana;75;199201;2,5;Abono de Permanência                      ;0
1992;Janeiro  ;Urbana;832;199201;24;Abono de Permanência                      ;0
1992;Janeiro  ;Rural ;0;199201;0;42-Ap Tempo Contrib LOPS                  ;0
1992;Janeiro  ;Rural ;13609;199201;475,4;Ap Idade                                  ;0,5
1992;Janeiro  ;Rural ;626;199201;21,9;Ap Invalidez                              ;0
1992;Janeiro  ;Rural ;4023;199201;117,1;Pensões por Morte                         ;0,1
1992;Janeiro  ;Rural ;998;199201;34,8;Rmv Invalidez                             ;0
1992;Janeiro  ;Rural ;1385;199201;48,4;Rmv Idade                                 ;0
1992;Janeiro  ;Rural ;5489;199201;191,7;Auxílio Doença                            ;0,2
1992;Janeiro  ;Rural ;10;199201;0,4;Auxílio Reclusão                          ;0
1992;Janeiro  ;Rural ;0;199201;0;80-Salário-Maternidade                    ;0
1992;Janeiro  ;Rural ;3;199201;0;Auxílio Acidente e Suplementar Acidentário;0
1992;Janeiro  ;Rural ;12;199201;0,4;Aposentadorias Acidentárias               ;0
1992;Janeiro  ;Rural ;11;199201;0,3;Pensões Acidentárias                      ;0
1992;Fevereiro;Urbana;3934;199202;374;42-Ap Tempo Contrib LOPS                  ;0,4
1992;Fevereiro;Urbana;1459;199202;153,4;46-Ap Tempo Contrib Especial              ;0,2
1992;Fevereiro;Urbana;66;199202;5,9;Outras Ap Tempo Contrib                   ;0
1992;Fevereiro;Urbana;4703;199202;205,4;Ap Idade                                  ;0,2
1992;Fevereiro;Urbana;0;199202;0;Ap Idade                                  ;0
1992;Fevereiro;Urbana;4434;199202;173,3;Ap Invalidez                              ;0,2
1992;Fevereiro;Urbana;2;199202;0,1;Ap Invalidez                              ;0
1992;Fevereiro;Urbana;10279;199202;402,4;Pensões por Morte                         ;0,4
1992;Fevereiro;Urbana;74;199202;4;EPU - Pensão por Morte                    ;0
1992;Fevereiro;Urbana;44;199202;2,1;Pensões por Morte                         ;0
1992;Fevereiro;Urbana;0;199202;0;EPU - Pensões Mensais Vitalícias          ;0
1992;Fevereiro;Urbana;0;199202;0;Pensões Mensais Vitalícias                ;0
1992;Fevereiro;Urbana;0;199202;0;Pensões Mensais Vitalícias                ;0
1992;Fevereiro;Urbana;1369;199202;47,7;Rmv Invalidez                             ;0
1992;Fevereiro;Urbana;850;199202;29,6;Rmv Idade                                 ;0
1992;Fevereiro;Urbana;29219;199202;1030,5;Auxílio Doença                            ;1
1992;Fevereiro;Urbana;70;199202;2,5;Auxílio Reclusão                          ;0
1992;Fevereiro;Urbana;0;199202;0;80-Salário-Maternidade                    ;0
1992;Fevereiro;Urbana;0;199202;0;Auxílio Doença Acidentário                ;0
1992;Fevereiro;Urbana;586;199202;13,7;Auxílio Acidente e Suplementar Acidentário;0
1992;Fevereiro;Urbana;176;199202;2,6;Auxílio Acidente e Suplementar Acidentário;0
1992;Fevereiro;Urbana;204;199202;11,5;Aposentadorias Acidentárias               ;0
1992;Fevereiro;Urbana;251;199202;18,6;Pensões Acidentárias                      ;0
1992;Fevereiro;Urbana;47;199202;1,8;Abono de Permanência                      ;0
1992;Fevereiro;Urbana;503;199202;14,5;Abono de Permanência                      ;0
1992;Fevereiro;Rural ;0;199202;0;42-Ap Tempo Contrib LOPS                  ;0
1992;Fevereiro;Rural ;12535;199202;438,1;Ap Idade                                  ;0,4
1992;Fevereiro;Rural ;572;199202;20;Ap Invalidez                              ;0
1992;Fevereiro;Rural ;4130;199202;144,3;Pensões por Morte                         ;0,1
1992;Fevereiro;Rural ;1131;199202;39,5;Rmv Invalidez                             ;0
1992;Fevereiro;Rural ;1294;199202;45,2;Rmv Idade                                 ;0
1992;Fevereiro;Rural ;4803;199202;167,7;Auxílio Doença                            ;0,2
